group1;group2;meandiff;p-adj;lower;upper;reject
carregamento;poiSub;-4.5329;0.0;-6.1167;-2.9491;True
carregamento;elasSub;-3.4132;0.0;-4.3154;-2.5109;True
espBas;poiSub;-2.5483;0.0;-4.18;-0.9166;True
poiBas;poiSub;-2.5267;0.0027;-4.5192;-0.5342;True
poiRev;poiSub;-2.5225;0.0006;-4.3457;-0.6994;True
elasRev;poiSub;-2.5149;0.0;-4.0492;-0.9806;True
elasBas;poiSub;-2.4586;0.0;-3.9856;-0.9315;True
espRev;poiSub;-2.4169;0.0002;-4.0486;-0.7852;True
carregamento;espRev;-2.116;0.0;-3.2117;-1.0203;True
carregamento;elasBas;-2.0743;0.0;-3.0072;-1.1415;True
carregamento;elasRev;-2.018;0.0;-2.9627;-1.0734;True
carregamento;poiRev;-2.0104;0.0002;-3.375;-0.6458;True
carregamento;poiBas;-2.0062;0.0028;-3.59;-0.4224;True
carregamento;espBas;-1.9847;0.0;-3.0804;-0.8889;True
elasSub;espBas;1.4285;0.0002;0.4446;2.4124;True
elasSub;poiBas;1.4069;0.0903;-0.1017;2.9155;False
elasSub;poiRev;1.4028;0.0189;0.1262;2.6793;True
elasRev;elasSub;-1.3951;0.0;-2.2074;-0.5829;True
elasBas;elasSub;-1.3388;0.0;-2.1373;-0.5404;True
elasSub;espRev;1.2971;0.0014;0.3133;2.281;True
elasSub;poiSub;-1.1198;0.3404;-2.6284;0.3888;False
espBas;espRev;-0.1314;1.0;-1.2952;1.0325;False
espRev;poiBas;0.1098;1.0;-1.5219;1.7415;False
espRev;poiRev;0.1056;1.0;-1.3142;1.5255;False
elasRev;espRev;-0.098;1.0;-1.1209;0.9249;False
elasBas;espBas;0.0897;1.0;-0.9223;1.1016;False
elasBas;poiBas;0.0681;1.0;-1.4589;1.5952;False
elasBas;poiRev;0.0639;1.0;-1.2343;1.3622;False
elasBas;elasRev;0.0563;1.0;-0.7897;0.9024;False
elasBas;espRev;-0.0417;1.0;-1.0536;0.9703;False
elasRev;espBas;0.0334;1.0;-0.9895;1.0563;False
espBas;poiRev;-0.0257;1.0;-1.4456;1.3941;False
espBas;poiBas;-0.0216;1.0;-1.6532;1.6101;False
elasRev;poiBas;0.0118;1.0;-1.5225;1.5461;False
elasRev;poiRev;0.0076;1.0;-1.2992;1.3145;False
poiBas;poiRev;-0.0042;1.0;-1.8273;1.819;False
