group1;group2;meandiff;p-adj;lower;upper;reject
carregamento;elasSub;-3.7816;0.0;-4.4366;-3.1266;True
carregamento;poiSub;-2.6727;0.0;-3.8224;-1.523;True
elasSub;espBas;2.4039;0.0;1.6896;3.1181;True
carregamento;poiRev;-2.0943;0.0;-3.0849;-1.1037;True
carregamento;elasBas;-1.9763;0.0;-2.6535;-1.2992;True
elasRev;elasSub;-1.9458;0.0;-2.5355;-1.3562;True
elasSub;espRev;1.9438;0.0;1.2295;2.658;True
carregamento;poiBas;-1.9238;0.0;-3.0735;-0.7741;True
elasSub;poiBas;1.8578;0.0;0.7626;2.9529;True
carregamento;espRev;-1.8378;0.0;-2.6332;-1.0424;True
carregamento;elasRev;-1.8358;0.0;-2.5215;-1.15;True
elasBas;elasSub;-1.8053;0.0;-2.3849;-1.2256;True
elasSub;poiRev;1.6873;0.0;0.7606;2.614;True
carregamento;espBas;-1.3777;0.0;-2.1731;-0.5823;True
espBas;poiSub;-1.295;0.02;-2.4795;-0.1105;True
elasSub;poiSub;1.1089;0.0445;0.0137;2.204;True
elasRev;poiSub;-0.8369;0.3233;-1.9508;0.2769;False
espRev;poiSub;-0.8349;0.4144;-2.0194;0.3496;False
poiBas;poiSub;-0.7489;0.8018;-2.1953;0.6975;False
espBas;poiRev;-0.7166;0.4345;-1.7473;0.3142;False
elasBas;poiSub;-0.6964;0.5795;-1.8049;0.4121;False
elasBas;espBas;0.5986;0.2185;-0.136;1.3332;False
poiRev;poiSub;-0.5784;0.9141;-1.9019;0.745;False
espBas;poiBas;-0.5461;0.8864;-1.7306;0.6384;False
espBas;espRev;-0.4601;0.7533;-1.305;0.3848;False
elasRev;espBas;0.458;0.6042;-0.2845;1.2006;False
elasRev;poiRev;-0.2585;0.9955;-1.2072;0.6902;False
espRev;poiRev;-0.2565;0.9976;-1.2872;0.7743;False
poiBas;poiRev;-0.1705;1.0;-1.494;1.153;False
elasBas;elasRev;0.1406;0.9987;-0.4736;0.7547;False
elasBas;espRev;0.1385;0.9997;-0.5961;0.8731;False
elasBas;poiRev;-0.118;1.0;-1.0604;0.8245;False
elasRev;poiBas;-0.088;1.0;-1.2018;1.0258;False
espRev;poiBas;-0.086;1.0;-1.2705;1.0985;False
elasBas;poiBas;0.0525;1.0;-1.056;1.1611;False
elasRev;espRev;-0.0021;1.0;-0.7446;0.7405;False
